dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.0,0.009,0.005,-0.0,0.007,0.0,0.002
breast_cancer,0.0,0.002,0.0,-0.004,-0.001,0.001,0.005
circles,0.002,-0.001,0.227,-0.006,-0.002,-0.0,-0.001
digits_3v5,0.001,0.0,0.003,-0.001,0.0,0.004,0.005
heart_statlog,0.028,0.003,-0.005,0.012,0.001,0.021,0.022
iris_binary,0.0,0.012,-0.008,0.014,0.0,0.012,0.002
moons,0.002,0.0,0.055,-0.002,0.001,0.006,-0.003
pima,0.009,0.001,-0.007,0.0,-0.001,-0.002,0.026
wine_binary,0.002,-0.002,0.008,-0.002,0.017,-0.008,0.025
xor_gauss,0.002,0.001,0.01,0.014,-0.002,0.129,0.026
