dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.0,0.008,0.005,-0.0,0.006,0.0,0.002
breast_cancer,0.0,0.003,0.002,-0.005,-0.001,0.001,0.006
circles,0.002,-0.001,0.227,-0.006,-0.002,-0.0,-0.001
digits_3v5,0.001,0.0,0.003,-0.001,0.0,0.004,0.005
heart_statlog,0.024,0.003,-0.005,0.013,0.001,0.024,0.018
iris_binary,0.0,0.012,-0.008,0.014,0.0,0.012,0.002
moons,0.002,0.0,0.055,-0.002,0.001,0.006,-0.003
pima,0.002,0.0,-0.002,0.008,-0.001,-0.006,0.017
wine_binary,0.003,-0.002,0.006,-0.001,0.015,-0.01,0.03
xor_gauss,0.002,-0.003,0.011,0.016,-0.001,0.137,0.026
