dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.0,0.01,0.006,-0.0,0.007,0.0,0.002
breast_cancer,0.0,0.002,-0.0,-0.003,-0.001,0.001,0.004
circles,0.001,0.001,0.205,-0.006,-0.002,-0.0,-0.001
digits_3v5,0.001,0.0,0.003,-0.001,0.0,0.004,0.005
heart_statlog,0.026,0.003,-0.006,0.016,0.0,0.03,0.018
iris_binary,0.0,0.013,-0.007,0.015,-0.004,0.012,0.002
moons,0.002,0.0,0.058,-0.002,0.001,0.005,-0.003
pima,-0.002,-0.0,-0.004,0.013,-0.003,-0.011,0.02
wine_binary,0.003,-0.002,0.009,-0.002,0.02,-0.011,0.034
xor_gauss,0.007,-0.067,0.015,0.031,0.032,0.214,0.026
