dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.001,0.0,0.0,0.0,-0.0,0.0,0.0
breast_cancer,0.0,0.0,-0.0,-0.0,-0.0,0.001,0.001
circles,-0.001,0.001,0.213,-0.001,0.001,-0.001,-0.004
digits_3v5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
heart_statlog,0.041,-0.001,0.001,0.006,-0.002,0.009,0.012
iris_binary,0.001,0.002,-0.005,0.002,-0.018,-0.001,0.012
moons,0.006,-0.0,0.017,-0.004,-0.0,0.0,-0.003
pima,0.033,0.0,-0.003,-0.0,-0.0,-0.004,0.042
wine_binary,0.009,0.0,0.0,-0.0,-0.0,-0.0,0.006
xor_gauss,0.007,-0.001,0.005,0.024,0.006,0.181,0.039
