dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.999 ± 0.002,0.999 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
breast_cancer,0.985 ± 0.011,0.995 ± 0.005,0.992 ± 0.009,0.991 ± 0.007,0.995 ± 0.006,0.995 ± 0.006,0.993 ± 0.005
circles,1.000 ± 0.000,0.434 ± 0.037,0.787 ± 0.228,0.998 ± 0.004,0.434 ± 0.037,1.000 ± 0.000,0.998 ± 0.003
digits_3v5,0.997 ± 0.006,1.000 ± 0.000,0.999 ± 0.001,1.000 ± 0.001,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001
heart_statlog,0.858 ± 0.054,0.909 ± 0.039,0.895 ± 0.051,0.903 ± 0.037,0.911 ± 0.038,0.900 ± 0.045,0.888 ± 0.039
iris_binary,0.985 ± 0.020,0.996 ± 0.007,0.996 ± 0.006,0.988 ± 0.015,0.997 ± 0.006,0.994 ± 0.009,0.976 ± 0.031
moons,0.992 ± 0.008,0.953 ± 0.017,0.951 ± 0.017,0.994 ± 0.005,0.953 ± 0.016,0.996 ± 0.003,0.994 ± 0.007
pima,0.770 ± 0.039,0.830 ± 0.036,0.826 ± 0.039,0.823 ± 0.034,0.829 ± 0.037,0.838 ± 0.038,0.790 ± 0.035
wine_binary,0.991 ± 0.016,0.999 ± 0.002,0.999 ± 0.003,0.999 ± 0.003,0.999 ± 0.003,0.999 ± 0.002,0.992 ± 0.012
xor_gauss,0.663 ± 0.049,0.501 ± 0.031,0.496 ± 0.039,0.591 ± 0.044,0.495 ± 0.039,0.577 ± 0.032,0.595 ± 0.057
