dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.999 ± 0.002,0.990 ± 0.005,0.999 ± 0.002,0.993 ± 0.005,0.991 ± 0.005,1.000 ± 0.000,0.997 ± 0.002
breast_cancer,0.971 ± 0.013,0.980 ± 0.014,0.970 ± 0.017,0.956 ± 0.020,0.979 ± 0.013,0.980 ± 0.013,0.968 ± 0.014
circles,0.991 ± 0.008,0.457 ± 0.025,0.992 ± 0.008,0.980 ± 0.014,0.497 ± 0.038,0.991 ± 0.010,0.985 ± 0.014
digits_3v5,0.997 ± 0.007,0.994 ± 0.009,0.993 ± 0.011,0.991 ± 0.012,0.992 ± 0.008,0.996 ± 0.007,0.988 ± 0.013
heart_statlog,0.833 ± 0.054,0.836 ± 0.062,0.833 ± 0.041,0.841 ± 0.048,0.836 ± 0.060,0.841 ± 0.054,0.836 ± 0.041
iris_binary,0.932 ± 0.043,0.956 ± 0.042,0.938 ± 0.039,0.930 ± 0.050,0.938 ± 0.044,0.950 ± 0.038,0.920 ± 0.056
moons,0.971 ± 0.012,0.856 ± 0.033,0.903 ± 0.048,0.962 ± 0.016,0.858 ± 0.035,0.968 ± 0.014,0.960 ± 0.019
pima,0.745 ± 0.032,0.772 ± 0.027,0.757 ± 0.034,0.761 ± 0.029,0.770 ± 0.027,0.769 ± 0.031,0.761 ± 0.033
wine_binary,0.966 ± 0.032,0.983 ± 0.024,0.983 ± 0.032,0.983 ± 0.024,0.983 ± 0.024,0.975 ± 0.024,0.978 ± 0.025
xor_gauss,0.624 ± 0.033,0.510 ± 0.029,0.521 ± 0.030,0.580 ± 0.046,0.509 ± 0.028,0.691 ± 0.032,0.593 ± 0.040
