dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,0.999 ± 0.002,0.990 ± 0.005,0.999 ± 0.002,0.993 ± 0.005,0.992 ± 0.005,1.000 ± 0.000,0.997 ± 0.002
breast_cancer,0.965 ± 0.016,0.976 ± 0.017,0.967 ± 0.020,0.950 ± 0.023,0.974 ± 0.017,0.975 ± 0.015,0.965 ± 0.016
circles,0.991 ± 0.008,0.457 ± 0.025,0.992 ± 0.008,0.980 ± 0.014,0.497 ± 0.038,0.991 ± 0.010,0.985 ± 0.014
digits_3v5,0.997 ± 0.007,0.994 ± 0.009,0.993 ± 0.011,0.991 ± 0.012,0.992 ± 0.008,0.996 ± 0.007,0.988 ± 0.013
heart_statlog,0.824 ± 0.057,0.831 ± 0.065,0.830 ± 0.045,0.835 ± 0.050,0.831 ± 0.063,0.837 ± 0.057,0.828 ± 0.043
iris_binary,0.932 ± 0.043,0.956 ± 0.042,0.938 ± 0.039,0.930 ± 0.050,0.938 ± 0.044,0.950 ± 0.038,0.920 ± 0.056
moons,0.971 ± 0.012,0.856 ± 0.033,0.903 ± 0.048,0.962 ± 0.016,0.858 ± 0.035,0.968 ± 0.014,0.960 ± 0.019
pima,0.696 ± 0.037,0.723 ± 0.033,0.715 ± 0.040,0.727 ± 0.037,0.721 ± 0.033,0.715 ± 0.037,0.720 ± 0.039
wine_binary,0.972 ± 0.027,0.986 ± 0.021,0.985 ± 0.030,0.986 ± 0.020,0.983 ± 0.025,0.976 ± 0.025,0.980 ± 0.024
xor_gauss,0.622 ± 0.033,0.497 ± 0.028,0.510 ± 0.031,0.578 ± 0.046,0.492 ± 0.023,0.690 ± 0.032,0.591 ± 0.039
