dataset,knn,logreg,mlp,rf,svm_linear,svm_rbf,xgboost
banknote,1.000 ± 0.001,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
breast_cancer,0.986 ± 0.011,0.995 ± 0.005,0.991 ± 0.008,0.991 ± 0.007,0.995 ± 0.006,0.996 ± 0.006,0.994 ± 0.005
circles,0.999 ± 0.003,0.435 ± 0.036,1.000 ± 0.000,0.997 ± 0.005,0.435 ± 0.036,0.999 ± 0.001,0.994 ± 0.008
digits_3v5,0.997 ± 0.006,1.000 ± 0.000,1.000 ± 0.001,0.999 ± 0.001,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001
heart_statlog,0.899 ± 0.042,0.907 ± 0.039,0.895 ± 0.044,0.908 ± 0.039,0.909 ± 0.043,0.909 ± 0.041,0.900 ± 0.038
iris_binary,0.986 ± 0.020,0.997 ± 0.005,0.992 ± 0.013,0.990 ± 0.013,0.978 ± 0.027,0.992 ± 0.011,0.988 ± 0.017
moons,0.998 ± 0.002,0.953 ± 0.017,0.968 ± 0.021,0.990 ± 0.010,0.953 ± 0.016,0.996 ± 0.004,0.991 ± 0.009
pima,0.804 ± 0.038,0.830 ± 0.036,0.823 ± 0.037,0.823 ± 0.034,0.828 ± 0.037,0.834 ± 0.038,0.832 ± 0.033
wine_binary,1.000 ± 0.000,0.999 ± 0.002,0.999 ± 0.003,0.999 ± 0.005,0.999 ± 0.003,0.999 ± 0.003,0.998 ± 0.006
xor_gauss,0.669 ± 0.038,0.500 ± 0.031,0.501 ± 0.037,0.615 ± 0.052,0.501 ± 0.041,0.758 ± 0.039,0.634 ± 0.044
