dataset,model,variant,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
banknote,knn,tuned,0.998834,0.002028,0.99895,0.001825,0.998695,0.002268,0.999585,0.001141
banknote,logreg,tuned,0.989795,0.005364,0.990287,0.005052,0.988619,0.005952,0.999729,0.000236
banknote,mlp,tuned,0.998833,0.002031,0.998949,0.001829,0.998695,0.002268,0.999983,8.6e-05
banknote,rf,tuned,0.992857,0.004876,0.993045,0.004694,0.992004,0.005438,0.99986,0.000169
banknote,svm_linear,tuned,0.991398,0.005034,0.991959,0.004628,0.990419,0.005566,0.999653,0.000327
banknote,svm_rbf,tuned,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
banknote,xgboost,tuned,0.997232,0.002174,0.99741,0.002137,0.996894,0.002444,0.999976,7.3e-05
breast_cancer,knn,tuned,0.971178,0.012796,0.964806,0.016194,0.977376,0.00993,0.985776,0.010796
breast_cancer,logreg,tuned,0.980329,0.014382,0.976088,0.017323,0.984495,0.011178,0.995294,0.005082
breast_cancer,mlp,tuned,0.970141,0.016584,0.966577,0.019879,0.976334,0.013033,0.991375,0.008319
breast_cancer,rf,tuned,0.95574,0.020001,0.949985,0.023351,0.965019,0.015693,0.990693,0.007182
breast_cancer,svm_linear,tuned,0.97927,0.013124,0.974076,0.016693,0.983728,0.010098,0.994846,0.005626
breast_cancer,svm_rbf,tuned,0.979975,0.012539,0.975421,0.014874,0.984212,0.009801,0.995623,0.005608
breast_cancer,xgboost,tuned,0.96838,0.014301,0.964847,0.015936,0.974876,0.011444,0.993591,0.005307
circles,knn,tuned,0.9908,0.007594,0.9908,0.007594,0.990913,0.007422,0.998544,0.003433
circles,logreg,tuned,0.4572,0.024583,0.4572,0.024583,0.46916,0.03972,0.434752,0.036001
circles,mlp,tuned,0.992,0.007638,0.992,0.007638,0.992118,0.007499,0.999968,0.000111
circles,rf,tuned,0.98,0.01354,0.98,0.01354,0.979947,0.013612,0.996704,0.004858
circles,svm_linear,tuned,0.4968,0.037829,0.4968,0.037829,0.55927,0.04451,0.434928,0.036141
circles,svm_rbf,tuned,0.9908,0.010376,0.9908,0.010376,0.99096,0.010122,0.999456,0.000999
circles,xgboost,tuned,0.9848,0.013577,0.9848,0.013577,0.984781,0.013669,0.994408,0.007865
digits_3v5,knn,tuned,0.996712,0.007162,0.996697,0.007186,0.996681,0.007182,0.997237,0.00564
digits_3v5,logreg,tuned,0.993973,0.008913,0.993979,0.008885,0.99391,0.009019,0.99982,0.000393
digits_3v5,mlp,tuned,0.993425,0.010552,0.993393,0.010576,0.993391,0.010521,0.99952,0.001014
digits_3v5,rf,tuned,0.991233,0.011784,0.991186,0.011806,0.991183,0.011758,0.999489,0.000938
digits_3v5,svm_linear,tuned,0.992329,0.007988,0.992357,0.00794,0.992266,0.008066,0.99988,0.000281
digits_3v5,svm_rbf,tuned,0.995616,0.006522,0.995616,0.006524,0.995585,0.006571,0.99994,0.000208
digits_3v5,xgboost,tuned,0.988493,0.012923,0.988468,0.012864,0.988368,0.012901,0.999459,0.000907
heart_statlog,knn,tuned,0.832593,0.053852,0.824333,0.056592,0.797241,0.07119,0.899111,0.041527
heart_statlog,logreg,tuned,0.835556,0.061956,0.831167,0.064697,0.808241,0.076443,0.907444,0.038858
heart_statlog,mlp,tuned,0.833333,0.041409,0.83,0.045421,0.807533,0.055689,0.895333,0.04386
heart_statlog,rf,tuned,0.840741,0.048409,0.835167,0.050405,0.812765,0.061414,0.908389,0.038904
heart_statlog,svm_linear,tuned,0.836296,0.059692,0.831333,0.063169,0.807698,0.077448,0.909056,0.042977
heart_statlog,svm_rbf,tuned,0.840741,0.05399,0.8365,0.056536,0.815,0.067598,0.909167,0.040631
heart_statlog,xgboost,tuned,0.836296,0.041298,0.828,0.043243,0.802383,0.052891,0.899833,0.037593
iris_binary,knn,tuned,0.932,0.043012,0.932,0.043012,0.931201,0.043351,0.9862,0.019962
iris_binary,logreg,tuned,0.956,0.041633,0.956,0.041633,0.957259,0.039906,0.9972,0.005416
iris_binary,mlp,tuned,0.938,0.038944,0.938,0.038944,0.940765,0.036989,0.9916,0.013441
iris_binary,rf,tuned,0.93,0.05,0.93,0.05,0.927925,0.053,0.9902,0.012623
iris_binary,svm_linear,tuned,0.938,0.04397,0.938,0.04397,0.936281,0.045338,0.9784,0.026721
iris_binary,svm_rbf,tuned,0.95,0.038188,0.95,0.038188,0.950485,0.038663,0.9924,0.010909
iris_binary,xgboost,tuned,0.92,0.055902,0.92,0.055902,0.919434,0.055935,0.988,0.016646
moons,knn,tuned,0.9708,0.011874,0.9708,0.011874,0.970903,0.011928,0.998168,0.001527
moons,logreg,tuned,0.8564,0.033025,0.8564,0.033025,0.856932,0.032046,0.952592,0.016626
moons,mlp,tuned,0.9028,0.048436,0.9028,0.048436,0.904511,0.047702,0.96752,0.021314
moons,rf,tuned,0.9624,0.016145,0.9624,0.016145,0.962217,0.016832,0.989944,0.009712
moons,svm_linear,tuned,0.8584,0.034603,0.8584,0.034603,0.858968,0.033812,0.952704,0.016467
moons,svm_rbf,tuned,0.9684,0.014048,0.9684,0.014048,0.968607,0.013919,0.99608,0.00425
moons,xgboost,tuned,0.9596,0.019468,0.9596,0.019468,0.95943,0.019682,0.991176,0.00884
pima,knn,tuned,0.745281,0.032352,0.695511,0.037447,0.590825,0.055449,0.803839,0.038352
pima,logreg,tuned,0.772111,0.027061,0.722947,0.03271,0.630538,0.048038,0.829688,0.035996
pima,mlp,tuned,0.757279,0.033953,0.7147,0.039858,0.617453,0.068149,0.823011,0.037457
pima,rf,tuned,0.76064,0.029156,0.726574,0.036989,0.639759,0.050752,0.822984,0.03391
pima,svm_linear,tuned,0.770284,0.026554,0.721192,0.032658,0.627999,0.048822,0.828434,0.037424
pima,svm_rbf,tuned,0.768986,0.030794,0.715202,0.03673,0.617387,0.055099,0.833627,0.037975
pima,xgboost,tuned,0.761414,0.033,0.719552,0.039187,0.628261,0.055151,0.831909,0.033056
wine_binary,knn,tuned,0.966304,0.032131,0.972,0.026631,0.960677,0.037115,1.0,0.0
wine_binary,logreg,tuned,0.983188,0.024218,0.985524,0.020722,0.979759,0.029163,0.999122,0.002428
wine_binary,mlp,tuned,0.983188,0.031946,0.984825,0.029625,0.979358,0.039595,0.999407,0.002963
wine_binary,rf,tuned,0.983188,0.024218,0.986095,0.019881,0.97996,0.028947,0.998825,0.004611
wine_binary,svm_linear,tuned,0.983188,0.024218,0.98327,0.025032,0.978867,0.030975,0.998519,0.003027
wine_binary,svm_rbf,tuned,0.974855,0.024166,0.975651,0.024708,0.968741,0.030693,0.998825,0.002747
wine_binary,xgboost,tuned,0.978116,0.024607,0.979556,0.024315,0.972952,0.031096,0.997915,0.005852
xor_gauss,knn,tuned,0.62375,0.032526,0.622093,0.033037,0.596583,0.044089,0.66942,0.03836
xor_gauss,logreg,tuned,0.5105,0.028682,0.497043,0.02785,0.304028,0.051486,0.499956,0.030707
xor_gauss,mlp,tuned,0.521,0.02953,0.510276,0.030996,0.345352,0.132579,0.500896,0.0372
xor_gauss,rf,tuned,0.58025,0.046305,0.577657,0.046145,0.54289,0.050428,0.615332,0.051684
xor_gauss,svm_linear,tuned,0.5085,0.028291,0.492206,0.023242,0.194331,0.192076,0.500702,0.040728
xor_gauss,svm_rbf,tuned,0.691,0.032026,0.690351,0.03185,0.675264,0.034602,0.757982,0.038981
xor_gauss,xgboost,tuned,0.59325,0.039894,0.591015,0.038548,0.56084,0.0342,0.633784,0.044121
banknote,knn,default,0.998541,0.002355,0.998686,0.002122,0.99837,0.002628,0.998686,0.002122
banknote,logreg,default,0.980319,0.00835,0.981789,0.007724,0.978307,0.009113,0.999438,0.000484
banknote,mlp,default,0.993732,0.0074,0.99429,0.006791,0.99305,0.008133,0.999613,0.000441
banknote,rf,default,0.993148,0.005292,0.993406,0.005128,0.992336,0.005915,0.999856,0.000188
banknote,svm_linear,default,0.984547,0.006921,0.98589,0.006288,0.982939,0.007548,0.99966,0.00031
banknote,svm_rbf,default,0.999563,0.0016,0.999607,0.001439,0.999512,0.001789,1.0,0.0
banknote,xgboost,default,0.995188,0.004434,0.995145,0.004604,0.994586,0.005003,0.999867,0.000165
breast_cancer,knn,default,0.971178,0.012796,0.964806,0.016194,0.977376,0.00993,0.985377,0.010852
breast_cancer,logreg,default,0.977867,0.01342,0.972593,0.016402,0.982594,0.010396,0.994898,0.005353
breast_cancer,mlp,default,0.970135,0.017358,0.96454,0.020904,0.976489,0.013638,0.991603,0.009142
breast_cancer,rf,default,0.959605,0.018928,0.954605,0.021433,0.967991,0.015037,0.990979,0.0071
breast_cancer,svm_linear,default,0.979972,0.012789,0.975017,0.016112,0.984265,0.009844,0.995005,0.005527
breast_cancer,svm_rbf,default,0.979273,0.012629,0.974495,0.015324,0.98368,0.009854,0.994979,0.006265
breast_cancer,xgboost,default,0.963102,0.016422,0.958519,0.017697,0.970715,0.013259,0.992651,0.004829
circles,knn,default,0.9892,0.011518,0.9892,0.011518,0.989438,0.011172,0.999728,0.000351
circles,logreg,default,0.4584,0.031581,0.4584,0.031581,0.468624,0.046418,0.434224,0.036729
circles,mlp,default,0.7648,0.184552,0.7648,0.184552,0.787425,0.160197,0.786896,0.227863
circles,rf,default,0.9856,0.012275,0.9856,0.012275,0.985581,0.01231,0.99768,0.003991
circles,svm_linear,default,0.4988,0.04055,0.4988,0.04055,0.560978,0.045335,0.4336,0.036507
circles,svm_rbf,default,0.9912,0.010924,0.9912,0.010924,0.991387,0.010643,0.999968,0.000111
circles,xgboost,default,0.986,0.014142,0.986,0.014142,0.985985,0.014234,0.998048,0.00333
digits_3v5,knn,default,0.995616,0.007627,0.995601,0.007648,0.995569,0.007661,0.997192,0.005694
digits_3v5,logreg,default,0.993973,0.008913,0.993979,0.008885,0.99391,0.009019,0.99982,0.000393
digits_3v5,mlp,default,0.990137,0.012201,0.990135,0.012204,0.990148,0.012204,0.999399,0.001105
digits_3v5,rf,default,0.992329,0.011241,0.992267,0.011277,0.992279,0.011199,0.999504,0.000898
digits_3v5,svm_linear,default,0.992329,0.007988,0.992357,0.00794,0.992266,0.008066,0.99988,0.000281
digits_3v5,svm_rbf,default,0.991781,0.010462,0.991742,0.010486,0.991716,0.010465,0.99982,0.000327
digits_3v5,xgboost,default,0.983014,0.015458,0.983003,0.015363,0.982991,0.015271,0.999339,0.00141
heart_statlog,knn,default,0.804444,0.055576,0.799833,0.060086,0.771672,0.076161,0.858306,0.053753
heart_statlog,logreg,default,0.832593,0.058678,0.828333,0.060929,0.805739,0.071343,0.908556,0.03914
heart_statlog,mlp,default,0.838518,0.049437,0.8345,0.051053,0.813491,0.059442,0.894667,0.051182
heart_statlog,rf,default,0.828889,0.041505,0.8225,0.043882,0.797153,0.053895,0.902583,0.036738
heart_statlog,svm_linear,default,0.834815,0.053169,0.83,0.055564,0.807247,0.06658,0.910889,0.038322
heart_statlog,svm_rbf,default,0.819259,0.061251,0.813,0.064699,0.785203,0.080318,0.900278,0.044683
heart_statlog,xgboost,default,0.814074,0.05,0.809667,0.051759,0.784861,0.06246,0.888111,0.038961
iris_binary,knn,default,0.932,0.043012,0.932,0.043012,0.931201,0.043351,0.985,0.019791
iris_binary,logreg,default,0.944,0.048563,0.944,0.048563,0.943806,0.049369,0.9956,0.007118
iris_binary,mlp,default,0.946,0.04062,0.946,0.04062,0.947993,0.038853,0.9964,0.005686
iris_binary,rf,default,0.916,0.051478,0.916,0.051478,0.912904,0.054976,0.9878,0.014796
iris_binary,svm_linear,default,0.938,0.046278,0.938,0.046278,0.940429,0.046366,0.9968,0.006272
iris_binary,svm_rbf,default,0.938,0.04397,0.938,0.04397,0.938284,0.043807,0.9936,0.008602
iris_binary,xgboost,default,0.918,0.057518,0.918,0.057518,0.917111,0.059112,0.9758,0.030879
moons,knn,default,0.9692,0.01222,0.9692,0.01222,0.969313,0.01211,0.99228,0.00784
moons,logreg,default,0.8564,0.035223,0.8564,0.035223,0.856619,0.034836,0.95288,0.016544
moons,mlp,default,0.8476,0.031262,0.8476,0.031262,0.846145,0.031605,0.95096,0.016872
moons,rf,default,0.9644,0.017098,0.9644,0.017098,0.964437,0.017316,0.994288,0.005013
moons,svm_linear,default,0.8576,0.032949,0.8576,0.032949,0.85807,0.032576,0.952944,0.016458
