run_id,timestamp_utc,experiment,dataset,model,config_hash,seed,split_id,regime,n_train,n_test,n_features,n_params,accuracy,balanced_accuracy,f1,roc_auc,train_time_s,eval_time_s,git_commit
4166438a9e9b,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,0,s0_f0,classical,400,100,2,3,0.900000,0.900000,0.900000,0.974000,0.0066,0.0007,49cd10d
5489795a1207,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,0,s0_f1,classical,400,100,2,3,0.850000,0.850000,0.851485,0.945600,0.0043,0.0006,49cd10d
464d30e1b044,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,0,s0_f2,classical,400,100,2,3,0.830000,0.830000,0.834951,0.959600,0.0041,0.0005,49cd10d
460657105b05,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,0,s0_f3,classical,400,100,2,3,0.810000,0.810000,0.808081,0.941600,0.0061,0.0007,49cd10d
e43bf8a62651,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,0,s0_f4,classical,400,100,2,3,0.880000,0.880000,0.877551,0.953200,0.0043,0.0005,49cd10d
174b2f3026aa,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,1,s1_f0,classical,400,100,2,3,0.870000,0.870000,0.865979,0.948800,0.0047,0.0006,49cd10d
87726efd5990,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,1,s1_f1,classical,400,100,2,3,0.820000,0.820000,0.816327,0.942800,0.0038,0.0005,49cd10d
038c871f8ebc,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,1,s1_f2,classical,400,100,2,3,0.840000,0.840000,0.843137,0.942400,0.0049,0.0006,49cd10d
4bf5f2c8d8a4,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,1,s1_f3,classical,400,100,2,3,0.830000,0.830000,0.834951,0.955200,0.0039,0.0005,49cd10d
704fc725184d,2026-07-06T15:21:51+00:00,e0_smoke,moons,logreg,83a86d69f9,1,s1_f4,classical,400,100,2,3,0.910000,0.910000,0.910891,0.983200,0.0072,0.0006,49cd10d
b66b96fc6aec,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,2,s2_f0,classical,400,100,2,3,0.850000,0.850000,0.848485,0.948800,0.0045,0.0005,49cd10d
7d030da2f5eb,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,2,s2_f1,classical,400,100,2,3,0.800000,0.800000,0.800000,0.917200,0.0043,0.0005,49cd10d
c7f435a4ebab,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,2,s2_f2,classical,400,100,2,3,0.850000,0.850000,0.851485,0.951200,0.0077,0.0005,49cd10d
4e6c3f30def7,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,2,s2_f3,classical,400,100,2,3,0.880000,0.880000,0.884615,0.963600,0.0044,0.0006,49cd10d
5fb0f7c2ea58,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,2,s2_f4,classical,400,100,2,3,0.900000,0.900000,0.895833,0.974400,0.0048,0.0005,49cd10d
d49a08294c1b,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,3,s3_f0,classical,400,100,2,3,0.880000,0.880000,0.877551,0.960800,0.0049,0.0005,49cd10d
40ddf5d32683,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,3,s3_f1,classical,400,100,2,3,0.830000,0.830000,0.841121,0.939600,0.0041,0.0005,49cd10d
1dcbf49cee5b,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,3,s3_f2,classical,400,100,2,3,0.880000,0.880000,0.877551,0.961600,0.0041,0.0005,49cd10d
926a7e404cf2,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,3,s3_f3,classical,400,100,2,3,0.870000,0.870000,0.865979,0.956000,0.0044,0.0005,49cd10d
49019eca2e07,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,3,s3_f4,classical,400,100,2,3,0.850000,0.850000,0.851485,0.948000,0.0043,0.0005,49cd10d
8ee1555a97f9,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,4,s4_f0,classical,400,100,2,3,0.890000,0.890000,0.893204,0.958400,0.0045,0.0005,49cd10d
0158cd94631f,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,4,s4_f1,classical,400,100,2,3,0.780000,0.780000,0.780000,0.914000,0.0045,0.0006,49cd10d
06490186e202,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,4,s4_f2,classical,400,100,2,3,0.850000,0.850000,0.851485,0.941200,0.0054,0.0005,49cd10d
dbe67d669b58,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,4,s4_f3,classical,400,100,2,3,0.920000,0.920000,0.920000,0.981200,0.0040,0.0006,49cd10d
8f7084eeca54,2026-07-06T15:21:52+00:00,e0_smoke,moons,logreg,83a86d69f9,4,s4_f4,classical,400,100,2,3,0.840000,0.840000,0.833333,0.959600,0.0040,0.0005,49cd10d
